City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
217,fereydun kenar,36.6864,52.5225,22.470000000000027,59,0,2.18,IR,1726524907
218,gamba,-2.65,10.0,23.870000000000005,90,91,3.05,GA,1726524730
219,puerto baquerizo moreno,-0.9,-89.6,22.55000000000001,78,100,5.66,EC,1726524911
220,brisas de zicatela,15.8369,-97.0419,30.29000000000002,89,40,1.54,MX,1726524912
221,ouargla,31.9493,5.325,31.04000000000002,33,75,4.12,DZ,1726524913
222,san antonio de pale,-1.4014,5.6325,24.720000000000027,85,92,5.55,GQ,1726524620
223,port isabel,26.0734,-97.2086,31.710000000000036,96,72,1.34,US,1726524441
224,tyukhtet,56.5389,89.3011,-1.0499999999999545,92,10,1.21,RU,1726524916
225,turaif,31.6725,38.6637,21.140000000000043,52,0,4.12,SA,1726524917
226,bel ombre,-4.6167,55.4167,24.910000000000025,94,75,4.12,SC,1726524918
227,bani walid,31.7566,13.9942,23.129999999999995,56,1,5.04,LY,1726524919
228,chai badan,15.2,101.1333,24.760000000000048,93,100,0.68,TH,1726524921
229,constantia,44.1833,28.65,14.379999999999995,60,8,5.18,RO,1726524408
230,el alto,-4.2714,-81.2147,18.350000000000023,77,17,8.12,PE,1726524380
231,machico,32.7,-16.7667,23.350000000000023,73,40,2.57,PT,1726524926
232,natal,-5.795,-35.2094,25.360000000000014,73,20,8.23,BR,1726524297
233,khandyga,62.6667,135.6,1.2900000000000205,86,91,1.16,RU,1726524929
234,comodoro rivadavia,-45.8667,-67.5,15.920000000000016,21,0,6.17,AR,1726524930
235,enewetak,11.3474,162.3373,28.670000000000016,76,40,5.01,MH,1726524931
236,usinsk,65.9939,57.5281,13.840000000000032,92,100,4.24,RU,1726524858
237,fabens,31.5023,-106.1586,33.55000000000001,22,1,5.26,US,1726524933
238,cayambe,0.05,-78.1333,16.25,59,88,3.54,EC,1726524934
239,ciudad lazaro cardenas,17.9583,-102.2,30.32000000000005,72,62,3.6,MX,1726524781
240,nadi,-17.8,177.4167,24.0,88,75,2.57,FJ,1726524936
241,thunder bay,48.4001,-89.3168,23.99000000000001,78,75,2.06,CA,1726524938
242,timbuktu,16.7735,-3.0074,32.710000000000036,47,25,4.9,ML,1726524939
243,atafu village,-8.5421,-172.5159,28.150000000000034,73,27,3.1,TK,1726524393
244,anadyr,64.75,177.4833,10.28000000000003,71,40,3.0,RU,1726524941
245,sitka,57.0531,-135.33,13.939999999999998,77,100,1.54,US,1726524882
246,sidareja,-7.4846,108.7923,20.700000000000045,95,72,0.81,ID,1726524943
247,mahina,-17.5065,-149.489,27.870000000000005,78,75,5.14,PF,1726524775
248,luanda,-8.8368,13.2343,22.0,88,40,3.09,AO,1726524945
249,arteche,12.2645,125.4048,25.170000000000016,92,100,2.75,PH,1726524947
250,lebu,-37.6167,-73.65,10.430000000000007,74,100,6.74,CL,1726524948
251,pisco,-13.7,-76.2167,16.680000000000007,82,3,3.07,PE,1726524437
252,fort bragg,35.139,-79.006,20.910000000000025,93,100,11.83,US,1726524697
253,krasnyy chikoy,50.3643,108.7512,4.4500000000000455,87,0,0.89,RU,1726524951
254,rabaul,-4.1967,152.1721,26.640000000000043,81,18,3.03,PG,1726524952
255,tual,-5.6667,132.75,26.640000000000043,84,100,6.7,ID,1726524953
256,tutoia,-2.7619,-42.2744,26.120000000000005,77,10,6.89,BR,1726524954
257,ribeira grande,38.5167,-28.7,24.32000000000005,87,100,5.81,PT,1726524955
